"","Category","Term","Count","%","PValue","Genes","List Total","Pop Hits","Pop Total","Fold Enrichment","Bonferroni","Benjamini","FDR","Overlap"
"11","GOTERM_BP_FAT","GO:0007059~chromosome segregation","46","4.761904762","7.23E-13","TOP2A, CDCA2, HJURP, BUB1B, CDCA8, BRCA1, KIF11, HDAC8, SMC4, NSL1, AURKB, NCAPH, SMC2, BRIP1, DSN1, PTTG1, RACGAP1, NUSAP1, ECT2, CENPT, STIL, SPAG5, UBE2C, NSMCE2, KIF23, KIF22, ESCO2, CIT, CENPE, SFPQ, RAD51C, PSRC1, APITD1, ESPL1, FANCD2, KIFC1, CCNE1, INCENP, TACC3, BIRC5, KIF2C, TRIP13, RAD18, MAD1L1, SPC25, MAD2L1","801","299","17911","3.440122923","4.80E-09","2.40E-10","2.22E-10","No"
"12","GOTERM_BP_FAT","GO:0007346~regulation of mitotic cell cycle","54","5.590062112","7.98E-12","CDKN1C, TOP2A, CDKN1B, ZWILCH, BUB1B, KIF11, HMGB1, MKI67, IGF1R, LMNB1, CKS1B, D7ERTD443E, CCND2, CCND1, MYC, CHEK1, NUSAP1, CASP2, TOPBP1, SOX4, YWHAH, NSMCE2, CIT, CCNA2, RAD51C, PSRC1, DBF4, ESPL1, BIRC5, KIF20B, MAD1L1, SLFN9, ZFP36L1, E2F1, EIF4EBP1, CLSPN, E2F7, AFAP1L2, STIL, ATAD5, UBE2C, PLK2, IGF2, CDC7, BMP7, PBX1, TPX2, CENPE, ID2, CCDC8, TACC3, CDK1, MAD2L1, EZH2","801","420","17911","2.874959872","5.30E-08","1.96E-09","1.82E-09","No"
"13","GOTERM_BP_FAT","GO:0044770~cell cycle phase transition","48","4.968944099","1.43E-11","CDKN1C, CDKN1B, BUB1B, SLFN9, LMNB1, ZFP36L1, CKS1B, EPS8, D7ERTD443E, CCND2, CCND1, CHEK1, E2F1, EIF4EBP1, CASP2, CLSPN, TOPBP1, SKP2, POLE, SOX4, E2F7, TCF19, KLF11, NPM1, STIL, ATAD5, UBE2C, PLK2, NSMCE2, CIRBP, CDC7, SOX11, PBX1, CIT, CCNA2, CENPE, DBF4, RAD51C, CCNE1, ID2, CDK2, TACC3, CDK1, BIRC5, CDK14, MAD1L1, MAD2L1, EZH2","801","350","17911","3.066623863","9.51E-08","3.28E-09","3.04E-09","No"
"14","GOTERM_BP_FAT","GO:0044772~mitotic cell cycle phase transition","44","4.554865424","7.73E-11","CDKN1C, CDKN1B, BUB1B, SLFN9, LMNB1, ZFP36L1, CKS1B, EPS8, D7ERTD443E, CCND2, CCND1, CHEK1, E2F1, EIF4EBP1, CASP2, CLSPN, TOPBP1, SKP2, POLE, SOX4, E2F7, TCF19, KLF11, STIL, UBE2C, PLK2, NSMCE2, CDC7, PBX1, CIT, CCNA2, CENPE, DBF4, RAD51C, CCNE1, ID2, CDK2, TACC3, CDK1, BIRC5, CDK14, MAD1L1, MAD2L1, EZH2","801","317","17911","3.103707117","5.13E-07","1.35E-08","1.25E-08","No"
"15","GOTERM_BP_FAT","GO:0045787~positive regulation of cell cycle","43","4.451345756","1.21E-10","CDKN1B, SRC, GATA6, BRCA1, HMGB1, AURKB, IGF1R, LMNB1, CKS1B, CCND2, BCL2L11, CCND1, RACGAP1, MYC, NUSAP1, EIF4EBP1, CASP2, ECT2, SOX4, E2F7, E2F8, PLK4, NPM1, STIL, UBE2C, PRKCE, NSMCE2, IGF2, CDC7, KIF23, PBX1, CIT, CENPE, SFPQ, DBF4, RAD51C, PSRC1, ESPL1, ID2, CDK1, BIRC5, KIF20B, MAD2L1","801","309","17911","3.111696948","8.01E-07","1.86E-08","1.73E-08","No"
"16","GOTERM_BP_FAT","GO:0000819~sister chromatid segregation","30","3.105590062","1.64E-10","TOP2A, BUB1B, CDCA8, HDAC8, SMC4, NSL1, AURKB, NCAPH, SMC2, DSN1, PTTG1, RACGAP1, NUSAP1, STIL, SPAG5, UBE2C, NSMCE2, KIF23, KIF22, CIT, CENPE, SFPQ, RAD51C, PSRC1, ESPL1, KIFC1, TACC3, KIF2C, MAD1L1, MAD2L1","801","163","17911","4.115484479","1.09E-06","2.42E-08","2.24E-08","No"
"17","GOTERM_BP_FAT","GO:0000070~mitotic sister chromatid segregation","26","2.691511387","1.26E-09","BUB1B, CDCA8, SMC4, NSL1, AURKB, NCAPH, SMC2, DSN1, PTTG1, RACGAP1, NUSAP1, STIL, SPAG5, UBE2C, NSMCE2, KIF23, KIF22, CIT, CENPE, PSRC1, ESPL1, KIFC1, TACC3, KIF2C, MAD1L1, MAD2L1","801","135","17911","4.306524252","8.35E-06","1.41E-07","1.31E-07","No"
"18","GOTERM_BP_FAT","GO:0098813~nuclear chromosome segregation","35","3.623188406","1.56E-09","TOP2A, BUB1B, CDCA8, HDAC8, SMC4, NSL1, AURKB, NCAPH, SMC2, BRIP1, DSN1, PTTG1, RACGAP1, NUSAP1, STIL, SPAG5, UBE2C, NSMCE2, KIF23, KIF22, CIT, CENPE, SFPQ, RAD51C, PSRC1, APITD1, ESPL1, FANCD2, KIFC1, CCNE1, TACC3, KIF2C, TRIP13, MAD1L1, MAD2L1","801","236","17911","3.316220191","1.04E-05","1.70E-07","1.57E-07","No"
"19","GOTERM_BP_FAT","GO:0090068~positive regulation of cell cycle process","32","3.3126294","2.83E-09","GATA6, BRCA1, AURKB, IGF1R, CCND2, CCND1, RACGAP1, NUSAP1, CASP2, ECT2, SOX4, E2F7, E2F8, PLK4, NPM1, UBE2C, PRKCE, NSMCE2, IGF2, CDC7, KIF23, PBX1, CIT, CENPE, SFPQ, DBF4, RAD51C, ESPL1, ID2, BIRC5, KIF20B, MAD2L1","801","206","17911","3.473522175","1.88E-05","2.80E-07","2.60E-07","No"
"20","GOTERM_BP_FAT","GO:1901987~regulation of cell cycle phase transition","35","3.623188406","7.89E-09","CDKN1C, CDKN1B, BUB1B, SLFN9, LMNB1, ZFP36L1, D7ERTD443E, CCND2, CCND1, CHEK1, E2F1, CASP2, CLSPN, TOPBP1, SOX4, E2F7, NPM1, STIL, ATAD5, UBE2C, NSMCE2, CIRBP, CDC7, SOX11, PBX1, CCNA2, CENPE, DBF4, RAD51C, ID2, CDK1, BIRC5, MAD1L1, MAD2L1, EZH2","801","251","17911","3.118039701","5.24E-05","6.98E-07","6.47E-07","No"
"21","GOTERM_BP_FAT","GO:1901990~regulation of mitotic cell cycle phase transition","32","3.3126294","2.66E-08","CDKN1C, CDKN1B, BUB1B, SLFN9, LMNB1, ZFP36L1, D7ERTD443E, CCND2, CCND1, CHEK1, E2F1, CASP2, CLSPN, TOPBP1, SOX4, E2F7, STIL, ATAD5, UBE2C, NSMCE2, CDC7, PBX1, CCNA2, CENPE, DBF4, RAD51C, ID2, CDK1, BIRC5, MAD1L1, MAD2L1, EZH2","801","226","17911","3.166130832","1.77E-04","1.92E-06","1.78E-06","No"
"22","GOTERM_BP_FAT","GO:0000075~cell cycle checkpoint","26","2.691511387","7.03E-07","TOP2A, ZWILCH, BUB1B, BRCA1, AURKB, AURKA, D7ERTD443E, CCND1, CHEK1, E2F1, CASP2, CLSPN, TOPBP1, SOX4, STIL, FEM1B, PLK2, H2AFX, SOX11, CENPE, CDK1, BIRC5, INTS7, DNA2, MAD1L1, MAD2L1","801","184","17911","3.15967812","0.004656577","3.26E-05","3.02E-05","No"
"23","GOTERM_BP_FAT","GO:0045786~negative regulation of cell cycle","40","4.140786749","1.13E-06","TOP2A, CDKN1C, CDKN1B, ZWILCH, GATA6, BUB1B, PTPRK, BRCA1, THBS1, SLFN9, AURKB, AURKA, ZFP36L1, D7ERTD443E, CCND1, MYC, CASP3, CHEK1, CASP2, CLSPN, TOPBP1, SOX4, E2F7, E2F8, TCF7L2, NPM1, STIL, UBE2C, PLK2, SOX11, BMP7, CENPE, CDK6, KIFC1, ZFYVE19, ID2, CDK1, MAD1L1, MAD2L1, EZH2","801","379","17911","2.359978786","0.007498097","4.98E-05","4.62E-05","No"
"24","GOTERM_BP_FAT","GO:0010948~negative regulation of cell cycle process","25","2.587991718","1.14E-05","BUB1B, SLFN9, AURKB, AURKA, ZFP36L1, D7ERTD443E, CCND1, CHEK1, CASP2, CLSPN, TOPBP1, SOX4, E2F7, E2F8, NPM1, STIL, SOX11, BMP7, CENPE, KIFC1, ZFYVE19, CDK1, MAD1L1, MAD2L1, EZH2","801","201","17911","2.781193906","0.072930981","3.73E-04","3.45E-04","No"
"25","GOTERM_BP_FAT","GO:0045931~positive regulation of mitotic cell cycle","19","1.966873706","2.90E-05","UBE2C, NSMCE2, IGF2, CDC7, HMGB1, PBX1, IGF1R, CENPE, DBF4, RAD51C, CCND2, ESPL1, CCND1, NUSAP1, EIF4EBP1, CDK1, BIRC5, KIF20B, MAD2L1","801","134","17911","3.170561052","0.175335712","8.34E-04","7.73E-04","No"
"26","GOTERM_BP_FAT","GO:1901991~negative regulation of mitotic cell cycle phase transition","17","1.759834369","8.70E-05","STIL, BUB1B, SLFN9, ZFP36L1, CENPE, D7ERTD443E, CCND1, CHEK1, CDK1, CASP2, TOPBP1, CLSPN, MAD1L1, SOX4, E2F7, EZH2, MAD2L1","801","120","17911","3.167779859","0.438599657","0.002137811","0.001981291","No"
"27","GOTERM_BP_FAT","GO:1901988~negative regulation of cell cycle phase transition","18","1.863354037","9.93E-05","STIL, BUB1B, SOX11, SLFN9, ZFP36L1, CENPE, D7ERTD443E, CCND1, CHEK1, CDK1, CASP2, TOPBP1, CLSPN, MAD1L1, SOX4, E2F7, EZH2, MAD2L1","801","134","17911","3.003689418","0.482915164","0.002397877","0.002222317","No"
"28","GOTERM_BP_FAT","GO:0045930~negative regulation of mitotic cell cycle","22","2.277432712","1.42E-04","TOP2A, STIL, CDKN1B, ZWILCH, PLK2, BUB1B, BMP7, SLFN9, ZFP36L1, CENPE, D7ERTD443E, CCND1, CHEK1, CDK1, CASP2, TOPBP1, CLSPN, MAD1L1, SOX4, E2F7, EZH2, MAD2L1","801","192","17911","2.562174886","0.609548175","0.003209019","0.002974071","No"
"29","GOTERM_BP_FAT","GO:0007093~mitotic cell cycle checkpoint","16","1.6563147","2.23E-04","TOP2A, STIL, ZWILCH, PLK2, BUB1B, CENPE, D7ERTD443E, CCND1, CHEK1, CDK1, CASP2, TOPBP1, CLSPN, MAD1L1, SOX4, MAD2L1","801","117","17911","3.057887043","0.772265583","0.004740985","0.004393875","No"
"30","GOTERM_CC_FAT","GO:0005578~proteinaceous extracellular matrix","52","5.383022774","1.80E-11","COL18A1, SPON2, COL14A1, ELN, COL12A1, TNC, WISP1, ADAMTSL1, ADAMTS3, HMCN1, ADAMTS8, ADAMTS6, POSTN, ENTPD1, NAV2, MMP12, SFRP1, CFDP1, LOX, NOV, PXDN, COL4A6, COL6A6, ANGPTL4, FREM1, FBN2, LAMA4, COL11A1, SLC1A3, PTN, ADAMTS12, NID2, THBS4, THSD4, ADAMTS14, FLRT2, ADAMTS19, ADAMTS17, GPC3, SLIT3, SLIT2, GPC6, FN1, LAMB1, COL1A1, COL3A1, COL1A2, FRAS1, COL5A1, COL5A2, MFAP2, AGRN","727","360","14413","2.863655815","1.29E-08","4.28E-09","3.84E-09","No"
"31","GOTERM_CC_FAT","GO:0031012~extracellular matrix","63","6.52173913","1.95E-10","COL18A1, SPON2, COL14A1, ELN, TGFB1I1, COL12A1, TNC, WISP1, ADAMTSL1, ADAMTS3, TUBB5, CFL1, HMCN1, ADAMTS8, EDIL3, ADAMTS6, POSTN, ENTPD1, NAV2, CKAP4, MMP12, SFRP1, SFPQ, MMP14, CFDP1, LOX, NOV, PXDN, COL4A6, COL6A6, ANGPTL4, FREM1, FBN2, LAMA4, COL11A1, SLC1A3, PTN, ADAMTS12, NID2, THBS1, THBS4, THSD4, ADAMTS14, FLRT2, ADAMTS19, ADAMTS17, GPC3, SLIT3, SLIT2, GPC6, FN1, LAMB1, BMP7, COL1A1, CCT6A, COL3A1, COL1A2, FRAS1, COL5A1, COL5A2, MFAP2, VIM, AGRN","727","520","14413","2.401912496","1.39E-07","2.35E-08","2.10E-08","No"
"32","GOTERM_CC_FAT","GO:0044420~extracellular matrix component","27","2.795031056","2.47E-09","FBN2, COL18A1, LAMA4, COL11A1, ELN, COL12A1, TNC, SLC1A3, PTN, NID2, THBS4, THSD4, HMCN1, ENTPD1, FN1, LAMB1, COL1A1, COL3A1, CFDP1, COL1A2, FRAS1, COL5A1, COL5A2, MFAP2, COL4A6, AGRN, FREM1","727","134","14413","3.994651912","1.76E-06","2.20E-07","1.97E-07","No"
"33","GOTERM_BP_FAT","GO:0008283~cell proliferation","154","15.94202899","4.92E-14","SEMA5A, SCARB1, NRK, RTKN2, TNC, DIXDC1, MKI67, IGF1R, CDH3, SALL1, CCND2, CCND1, PTTG1, MYC, CHEK1, SOX9, SKP2, PITX2, SOX4, SOX5, CDON, TPD52, VASH2, HDGFRP3, SOX11, FOXP2, SFRP1, MELK, CD109, ROR2, KIF20B, ZFPM2, MAD1L1, FTO, BEX1, MAGED1, EIF5A2, GATA6, AKR1C18, ZFP36L1, STK3, CNN1, BRIP1, RACGAP1, FIGNL1, RSU1, MYH10, CD276, LYN, CBX8, BCL11B, H3F3B, VDR, TNFRSF9, IGF2, FN1, CDC7, DHCR24, SMARCA1, SMAD6, BMP7, PBX1, POLA1, CNOT6, CDK6, NASP, ID2, CDK2, CDK1, PEMT, STRN, DDR1, CDKN1C, COL18A1, KDM5B, BMP10, CDKN1B, BTG1, MCM7, CDCA7L, NCAPG2, DOCK7, HMGB2, MCM10, PTH1R, PTPRK, HMGB1, GLI3, PTPRF, WISP1, GLI2, CKS1B, ROBO1, CD1D1, UCHL1, CASP3, SIX2, HEY2, NCK2, TCF19, VAV3, KLF11, HELLS, ATPIF1, TET1, PTBP2, MTSS1, CCNA2, MMP12, ASPM, MMP14, NOV, ELF4, ALDH1A2, BIRC5, DBN1, SRC, UHRF1, PTN, HMGCR, THBS1, THBS4, AURKB, C330027C09RIK, GNG2, ERBB4, ERBB2, TBX20, GPC3, IGF2BP1, E2F1, SH3BP4, NCAM1, SLIT3, SLIT2, E2F7, E2F8, TCF7L2, GDF11, RRM1, MARCKSL1, NPM1, ATAD5, NFYA, VEGFC, SHCBP1, TBX18, CD24A, REST, PRC1, TACC3, SPRY2, VIM, SSBP3","801","1874","17911","1.837546983","3.27E-10","2.18E-11","2.02E-11","No"
